Date,Time,Plot _Number,Subwatrshed_Location,Hydrogeomorphic_Classification,Vegataion_Type ,Percent_Canopy,Percent_Herb,Percent_Shrub,Percent_Bare,Percent_Litter,Percent_Rock,Percent_Woody,Percent_Water,Percent_DC,Grazing_Intensity,Percent_Trample,Percent_Hoof_Punch,Percent_DC_Grazed,Manure_Count,Water_Type_Within_5m ,Number_of_Streams,Water_Within_5m_Dist,Water_Type_Within_10m ,Number_of_Streams,Water_Within_10m_or_more_Dist,Strem_Width,Closest_Water_Distance,Water_Type,Prox_to_Restoration_m,Restoration_Location,Quantity_of_Restoration_Structures,Stream_Restoration_Type,Incised ,Bank_Sloughing ,Cattle_Impact_on_Stream,Cattle_Trail_Crossing_or_Bedding_Area,Stream_Impacts,Notes
8/4/2025,1:39 PM,111,CM,Discharge_Slope ,Fir_Shrub_Grass_Cedar_Forb_Sedge,20,90,NA,3,NA,0,5,7,12,None ,0,0,0,0,Sm_Scale_Drainage,1,0,None ,0,NA,NA,0,Sm_Scale_Drainage,NA,NA,NA,None,No ,No ,No,No,None ,
8/4/2025,1:39 PM,68,CM ,Discharge_Slope ,Shrub_Forb_Grass_Fir,5,10,NA,80,NA,30,15,0,0,None ,0,0,0,0,None ,0,NA,None ,0,NA,NA,NA,NA,NA,NA,NA,None,No ,No ,No,No,NA,Burnt woody debris 
8/4/2025,2:23 PM,73,CM,Discharge_Slope ,Grass_Sedge_Shrub_Forb ,0,90,NA,0,NA,5,0,8,70,None ,0,0,0,0,Sm_Scale_Drainage,1,0,None ,0,NA,NA,0,Sm_Scale_Drainage,NA,NA,NA,None,No ,No ,No,No,None ,
8/4/2025,2:23 PM,150,CM ,Discharge_Slope ,Grass_Pine_Cedar_Shrub_Forb_Fir ,35,20,NA,80,NA,10,8,0,0,None ,0,0,0,7,None ,0,NA,None ,0,NA,NA,NA,NA,NA,NA,NA,None,No ,No ,No,No,NA,
8/4/2025,3:13 PM,145,CM,Discharge_Slope ,Shrub_Grass_Sedge_Forb_Fir_Pine ,40,30,60,0,NA,5,8,5,25,None ,0,0,0,0,Sm_Scale_Drainage,1,0,None ,0,NA,NA,0,Sm_Scale_Drainage,NA,NA,NA,None,No ,No ,No,No,None ,"Very brushy, hard to manuver w/ all the Shrub "
8/4/2025,3:13 PM,142,CM ,Discharge_Slope ,Forb_Shrub_Fir_Pine_Sedge_Grass,5,50,25,0,NA,15,0,1,2,None ,0,0,0,1,Sm_Scale_Drainage,1,0,None ,0,NA,NA,0,Sm_Scale_Drainage,NA,NA,NA,None,No ,No ,Yes,No,None ,"Horsetail present, last year's manure "
8/4/2025,4:55 PM,49,CM,Discharge_Slope ,Forb_Grass_Shrub_Pine ,45,1,5,5,NA,0,5,0,0,None ,0,0,0,25,None ,0,NA,None ,0,NA,NA,NA,NA,NA,NA,NA,None,No ,No ,Yes,No,None ,Last year's manure 
8/4/2025,4:55 PM,130,CM ,Subsurface_Mid_Gradient,Shrub_Forb_Grass_Pine ,55,15,50,15,NA,1,0,0,0,High ,5,0,0,5,Sm_Scale_Drainage,1,2.5,None ,0,NA,NA,2.5,Sm_Scale_Drainage,NA,NA,NA,None,No ,No ,Yes,Yes,"Trampling, hoof punch, DC Grazed","Cows have been here recently, fresh manure, bedding area nearby, found cattle path leading to plot through Shrub "
8/4/2025,5:26 PM,29,CM,Dry,Forb_Pine_Fir_Grass_Shrub,15,20,25,5,NA,5,15,0,0,Moderate,20,0,0,2,Stream,1,1,None ,0,NA,NA,1,Stream,NA,NA,NA,None,Yes,Yes,No,No,"Incised, bank sloughing ",Near dry Stream
8/4/2025,5:26 PM,120,CM ,Dry,Grass_Forb_Shrub,5,30,3,5,NA,15,1,1,0,Low ,5,0,0,2,None ,0,NA,Stream ,1,14,3,14,Stream,2 downstream ,Downstream,2,Log_Jam ,No ,Yes,Yes,No,"Heavy trampling in main channel, bank sloughing on side channel, trampling Grasses around stream",
