"","component","present","median","mean_sd","range"
"1","percent_canopy",0.82,10,"13 ± 14","0 — 70"
"2","percent_herb",0.99,30,"37 ± 28","0 — 95"
"3","percent_shrub",0.71,5,"11 ± 15","0 — 85"
"4","percent_bare",0.84,5,"9.6 ± 12","0 — 80"
"5","percent_litter",0.83,10,"15 ± 17","0 — 95"
"6","percent_rock",0.91,10,"13 ± 12","0 — 75"
"7","percent_woody",0.82,7,"9.4 ± 9.4","0 — 50"
"8","percent_water",0.44,0,"3.8 ± 6.2","0 — 25"
"9","percent_dc",0.24,0,"3.1 ± 8.3","0 — 70"
"10","percent_trample",0.75,8,"10 ± 11","0 — 60"
"11","percent_hoof_punch",0.33,0,"2.1 ± 4.5","0 — 30"
"12","percent_dc_grazed",0.17,0,"1.8 ± 6.1","0 — 50"
"13","manure_count",0.78,2,"3 ± 3.3","0 — 25"
