"","timing","component","CM_present","CM_median","CM_mean_sd","RF_present","RF_median","RF_mean_sd"
"1","Early","percent_canopy",0.84,10,"15 ± 15",0.84,5,"12 ± 14"
"2","Early","percent_herb",0.99,30,"39 ± 29",1,28,"35 ± 29"
"3","Early","percent_shrub",0.68,5,"10 ± 14",0.88,18,"22 ± 22"
"4","Early","percent_bare",0.85,5,"11 ± 14",0.84,5,"5.6 ± 6.2"
"5","Early","percent_litter",0.8,10,"15 ± 16",0.81,10,"14 ± 18"
"6","Early","percent_rock",0.91,9,"12 ± 11",0.88,20,"19 ± 17"
"7","Early","percent_woody",0.81,7.5,"9.4 ± 9.2",0.84,9,"12 ± 12"
"8","Early","percent_water",0.43,0,"3.1 ± 5.4",0.59,1.5,"5.9 ± 7.7"
"9","Early","percent_dc",0.22,0,"2.7 ± 8.5",0.28,0,"4 ± 8.5"
"10","Late","percent_canopy",0.75,5,"7.6 ± 7.9",0.73,10,"11 ± 13"
"11","Late","percent_herb",1,20,"35 ± 27",0.91,30,"31 ± 27"
"12","Late","percent_shrub",0.67,2.5,"6.1 ± 7.8",0.82,7,"11 ± 11"
"13","Late","percent_bare",0.83,5,"7.2 ± 6.3",0.82,7,"12 ± 14"
"14","Late","percent_litter",0.92,15,"16 ± 17",0.91,10,"21 ± 24"
"15","Late","percent_rock",0.94,10,"11 ± 7.9",0.91,15,"18 ± 21"
"16","Late","percent_woody",0.83,6,"7.2 ± 7.2",0.82,5,"8.8 ± 9.8"
"17","Late","percent_water",0.36,0,"3.9 ± 6.5",0.36,0,"4.1 ± 7.7"
"18","Late","percent_dc",0.25,0,"4.1 ± 8.9",0.27,0,"1 ± 1.8"
