Observer: CW,,,,,,,,,,,,,,,,,,,
Date,Block,Plot,Veg Cover,Litter,Bare,Animal gopher,Animal trample,Rock,Woody,Water,Darlingtonia,% Grazed,Height 1 (cm),Height 2,Height 3,Height 4,# Cowpies,Moss,Notes
9/18/23,1,A early,80,5,2,15,0,0,0,0,0,0,62,21,14,12,4,0,"gopher hole for animal, old cowpies"
9/18/23,1,B full,95,10,2,10,0,0,0,0,0,0,12,0,30,20,3,0,"gopher hole for animal, old cowpies"
9/18/23,1,C control,90,2,3,10,0,0,0,0,0,0,14,33,31,20,2,0,"gopher hole for animal, old cowpies"
9/18/23,1,D late,95,2,1,0,2,0,0,0,0,0,12,25,27,16,1,1,
9/18/23,2,B control,90,10,2,0,0,1,1,10,60,0,9,18,16,27,0,1,
9/18/23,2,D early,90,10,2,0,0,2,0,10,45,0,13,18,15,23,0,1,
9/18/23,2,C full,95,5,0,0,0,1,0,5,50,0,21,22,15,12,0,1,
9/18/23,2,A late,95,5,1,0,0,2,0,5,40,0,14,11,13,19,0,1,
9/18/23,3,A control,70,7,5,0,0,5,0,10,15,0,0,3,1,14,0,3,
9/18/23,3,B early,70,5,10,0,0,1,2,10,20,0,3,15,1,0,0,10,
9/18/23,3,D full,80,5,5,0,0,5,3,15,15,0,13,0,4,12,0,0,
9/18/23,3,C late,70,3,15,0,0,5,2,5,20,0,9,6,2,11,0,0,
9/18/23,4,D early,100,20,0,0,5,0,0,0,0,30,6,13,15,16,10,,"""cowpies mostly old"""
9/18/23,4,C control,95,30,5,0,5,2,0,0,0,20,15,22,38,14,5,,"""old cowpies, also deep hoof prints"""
9/18/23,4,A late,95,20,2,0,2,1,1,0,0,10,17,17,16,13,3,,
9/18/23,4,B full,95,15,0,0,5,1,0,0,0,5,28,23,29,28,6,,
9/18/23,5,D full,90,10,1,0,0,2,1,5,30,0,14,15,15,18,0,3,
9/18/23,5,C early,90,20,0,0,0,0,5,3,50,0,18,15,20,20,0,0,
9/18/23,5,A control,85,20,5,0,2,0,10,2,35,30,6,8,10,3,0,0,
9/18/23,5,B late,95,10,0,0,0,1,1,0,15,3,0,18,6,13,0,0,
8/7/24,1,A early,95,0,5,2,0,0,0,0,0,0,27,25,10,17,0,,gopher hole for animal
8/7/24,1,B full,90,0,10,0,0,0,0,0,0,0,23,10,16,30,0,,
8/7/24,1,C control,98,0,2,0,0,0,0,0,0,0,19,18,25,18,0,,
8/7/24,1,D late,95,0,3,2,0,0,0,0,0,0,24,30,37,22,0,,gopher hole for animal.
8/7/24,2,A late,100,15,0,0,0,1,0,0,25,0,27,14,7,14,0,,
8/7/24,2,B control,95,15,0,0,0,0,0,5,40,0,29,10,22,18,0,,
8/7/24,2,C full,90,15,5,0,0,0,0,0,50,0,22,14,18,13,0,,
8/7/24,2,D early,90,20,5,0,0,2,0,5,35,0,19,13,15,12,0,,
8/7/24,3,A control,70,5,15,0,0,5,0,15,10,0,5,18,13,9,0,,
8/7/24,3,B early,80,30,5,0,0,2,0,15,10,0,10,2,3,6,0,,
8/7/24,3,C late,80,10,10,0,0,3,0,10,20,0,15,11,4,7,0,,
8/7/24,3,D full,75,20,15,0,0,5,0,5,15,0,12,11,12,15,0,,
8/7/24,4,A late,98,10,2,0,0,0,0,0,0,5,20,10,35,25,0,,
8/7/24,4,B full,95,10,2,0,0,0,0,1,0,0,17,11,23,29,5,,Old cowpies 
8/7/24,4,C control,95,30,5,0,0,0,0,0,0,0,11,15,34,8,1,,Old cowpies 
8/7/24,4,D early,95,15,2,0,0,1,0,0,0,0,20,7,16,9,0,,
8/7/24,5,A control,80,10,5,0,0,0,5,5,40,40,3,13,8,19,0,,
8/7/24,5,B late,90,30,5,0,0,0,5,0,10,25,10,15,20,12,0,,
8/7/24,5,C early,90,40,2,0,0,0,5,10,45,0,18,12,15,28,0,,
8/7/24,5,D full,85,20,2,0,2,5,2,10,25,0,12,25,10,12,0,,
8/7/24,6,A control,95,10,5,0,0,0,0,0,0,0,20,17,44,30,0,,
8/7/24,6,B early,90,10,0,0,0,0,10,0,2,0,25,32,17,27,0,,
8/7/24,6,C late,90,15,5,0,0,0,5,5,10,0,28,23,24,48,0,,
8/7/24,6,D full,95,10,5,0,0,0,0,0,2,0,24,41,32,26,0,,
8/7/24,7,A late,100,10,0,0,0,0,0,0,0,5,19,66,42,29,0,,
8/7/24,7,B full,95,10,5,0,0,0,0,0,0,2,33,25,27,30,0,,
8/7/24,7,C control,85,5,5,0,0,0,20,0,0,5,34,42,14,30,1,,
8/7/24,7,D early,90,5,5,0,0,0,15,0,0,5,24,17,39,30,0,,
8/7/24,9,A control,90,5,5,0,0,0,0,0,0,15,13,8,9,22,1,,
8/7/24,9,B late,90,5,10,0,0,2,0,0,0,40,12,15,35,17,0,,
8/7/24,9,C early,95,5,0,0,0,0,0,0,0,0,19,35,18,38,0,,
8/7/24,9,D full,95,5,2,0,0,2,0,0,0,0,29,6,27,10,0,,
8/7/24,8,A early,85,5,5,0,0,0,5,10,10,0,10,14,9,10,0,,
8/7/24,8,B full,80,5,10,0,0,10,0,3,10,0,9,3,9,13,0,,
8/7/24,8,C control,80,5,15,0,0,5,0,0,2,60,10,8,2,3,0,,
8/7/24,8,D late,90,5,5,0,0,10,0,5,10,15,10,8,5,21,0,,
9/19/24,1,A early,90,10,10,10,0,0,0,0,0,75,16,14,14,14,0,,
9/19/24,1,B full,90,10,10,10,0,0,0,0,0,0,33,17,12,24,0,,
9/19/24,1,C control,95,10,5,5,0,0,0,0,0,50,20,19,9,20,3,,
9/19/24,1,D late,95,15,5,5,0,0,0,0,0,0,21,22,30,17,0,,
9/19/24,2,A late,95,5,0,0,0,5,0,0,50,0,27,16,10,16,0,,
9/19/24,2,B control,90,10,0,0,0,5,5,0,50,0,25,20,15,12,0,,
9/19/24,2,C full,95,10,0,0,0,0,0,0,50,0,25,20,15,12,0,,
9/19/24,2,D early,90,10,0,0,0,5,0,5,50,0,11,20,14,23,0,,
9/19/24,3,A control,80,10,5,0,0,5,5,15,25,1,9,4,4,5,0,,
9/19/24,3,B early,60,20,5,0,0,0,0,15,40,0,5,22,10,10,0,,
9/19/24,3,C late,75,5,5,0,0,10,5,10,20,0,10,10,12,18,0,,
9/19/24,3,D full,80,15,5,0,0,10,5,5,30,0,12,0,28,3,0,,
9/19/24,4,A late,98,10,2,0,0,1,0,0,0,10,20,17,23,9,0,,
9/19/24,4,B full,95,5,5,0,0,2,0,0,0,0,10,21,14,16,0,,
9/19/24,4,C control,95,15,5,0,0,1,0,0,0,5,30,10,8,11,0,,
9/19/24,4,D early,90,20,5,0,0,0,0,0,0,5,20,16,24,17,0,,
9/19/24,5,A control,90,15,2,0,0,0,10,0,60,40,9,5,8,16,0,,
9/19/24,5,B late,95,10,3,0,0,0,2,0,30,10,23,12,12,24,0,,
9/19/24,5,C early,90,20,5,0,0,0,10,5,50,10,19,21,16,3,0,,
9/19/24,5,D full,90,20,0,0,0,5,3,5,50,0,10,17,16,13,0,,
9/19/24,6,A control,100,5,0,0,0,0,0,0,3,1,11,16,36,9,0,,
9/19/24,6,B early,90,5,0,0,0,0,10,0,3,5,12,21,7,14,0,,
9/19/24,6,C late,95,10,5,0,0,0,0,3,10,0,13,18,12,21,0,,
9/19/24,6,D full,95,10,0,0,0,0,0,0,3,0,16,10,15,14,0,,
9/19/24,7,A late,95,10,5,0,0,0,0,0,0,5,18,43,16,32,0,,
9/19/24,7,B full,95,5,5,0,0,0,0,0,0,40,14,15,2,16,1,,
