Observer: CW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Block,Plot,Veg Cover,Litter,Bare,trample,hoof_punch,gopher,Woody,Water,Darlingtonia,% Grazed,# Cowpies,Rock,dc_grazed,Height 1 (cm),Height 2,Height 3,Height 4,Moss,hoof_punch_width,hoof_punch_depth,water_type,1m_height,1m_forb_infl,1m_gram_infl,1m_dc_10,1m_dc_sm,Notes
9/18/23,1,A early,80,5,2,0,,15,0,0,0,0,4,0,,62,21,14,12,0,,,,,,,,,"gopher hole for animal, old cowpies"
9/18/23,1,B full,95,10,2,0,,10,0,0,0,0,3,0,,12,0,30,20,0,,,,,,,,,"gopher hole for animal, old cowpies"
9/18/23,1,C control,90,2,3,0,,10,0,0,0,0,2,0,,14,33,31,20,0,,,,,,,,,"gopher hole for animal, old cowpies"
9/18/23,1,D late,95,2,1,2,,0,0,0,0,0,1,0,,12,25,27,16,1,,,,,,,,,
9/18/23,2,B control,90,10,2,0,,0,1,10,60,0,0,1,,9,18,16,27,1,,,,,,,,,
9/18/23,2,D early,90,10,2,0,,0,0,10,45,0,0,2,,13,18,15,23,1,,,,,,,,,
9/18/23,2,C full,95,5,0,0,,0,0,5,50,0,0,1,,21,22,15,12,1,,,,,,,,,
9/18/23,2,A late,95,5,1,0,,0,0,5,40,0,0,2,,14,11,13,19,1,,,,,,,,,
9/18/23,3,A control,70,7,5,0,,0,0,10,15,0,0,5,,0,3,1,14,3,,,,,,,,,
9/18/23,3,B early,70,5,10,0,,0,2,10,20,0,0,1,,3,15,1,0,10,,,,,,,,,
9/18/23,3,D full,80,5,5,0,,0,3,15,15,0,0,5,,13,0,4,12,0,,,,,,,,,
9/18/23,3,C late,70,3,15,0,,0,2,5,20,0,0,5,,9,6,2,11,0,,,,,,,,,
9/18/23,4,D early,100,20,0,5,,0,0,0,0,30,10,0,,6,13,15,16,,,,,,,,,,"""cowpies mostly old"""
9/18/23,4,C control,95,30,5,5,,0,0,0,0,20,5,2,,15,22,38,14,,,,,,,,,,"""old cowpies, also deep hoof prints"""
9/18/23,4,A late,95,20,2,2,,0,1,0,0,10,3,1,,17,17,16,13,,,,,,,,,,
9/18/23,4,B full,95,15,0,5,,0,0,0,0,5,6,1,,28,23,29,28,,,,,,,,,,
9/18/23,5,D full,90,10,1,0,,0,1,5,30,0,0,2,,14,15,15,18,3,,,,,,,,,
9/18/23,5,C early,90,20,0,0,,0,5,3,50,0,0,0,,18,15,20,20,0,,,,,,,,,
9/18/23,5,A control,85,20,5,2,,0,10,2,35,30,0,0,,6,8,10,3,0,,,,,,,,,
9/18/23,5,B late,95,10,0,0,,0,1,0,15,3,0,1,,0,18,6,13,0,,,,,,,,,
8/7/24,1,A early,95,0,5,0,,2,0,0,0,0,0,0,,27,25,10,17,,,,,,,,,,gopher hole for animal
