,,,,,,,,,,,,,,,,,,,,,,,,
date,observer,species,rf 1 a,rf 2 p,rf 3 a,rf 4 p,rf 5 a,rf 6 a,rf 7 a,rf 8 a,rf 9 p,cm 10 a,cm 11 a,cm 12 p,cm 13 a,cm 14 a,cm 15 p,cm 16 p,cm 17 a,cm 18 p,cm 19 a,control ,notes,habitat type
2023-08-18,Sienna,Small clover ,,,,,,,,,,,,,,,1,,,,,,,w
2023-08-21,Sienna,Small clover,,,,,,,,,,,,,,,1,,,,,,,w
2023-08-21,Sienna,Tiny thin grass ,,,,,,,,1,,,,,,1,,,,,,,,w
2023-08-21,Sienna,Flat tiny grass,,,,,,,,,,,,,,,1,,,,,,,w
2023-08-21,Sienna,Emerald moss,,,,,1,,,,,,,,,,,,,,,,,w
2023-08-21,Sienna,Two round leaved sprout,,,,,,,,1,,,,,,,,,,,,,,w
2023-08-23,Sienna,Small clover,,,,,,,,,,,,,,,1,,,,,,,w
2023-08-23,Sienna,Tiny thin grass ,,,,,,,,1,,,,,,1,,,,,2,,,w
2023-08-23,Sienna,Flat tiny grass,,,,,,,,,,,,,,,1,,,,,,,w
2023-08-23,Sienna,Emerald moss,,,,,1,,,,,,,,,,,,,,,,,w
2023-08-23,Sienna,Two round leaved sprout,,,,,,,,1,,,,,,,,,,,,,,w
2023-08-25,Sienna,Small clover,,,,,,,,,,,,,,,2,,,,,,,w
2023-08-25,Sienna,Tiny thin grass ,,,,,,,,1,,4,,,,1,,,,,3,,,w
2023-08-25,Sienna,Flat tiny grass,,,,,,,,,,,,,,,1,,,,1,,,w
2023-08-25,Sienna,Emerald moss,,,,,1,,,,,,,,,,,,,,,,,w
2023-08-25,Sienna,Palmate sprout ,,,,,,,,1,,,,,,,,,,,,,,w
2023-08-25,Sienna,Small clover,,,,,,,,,,,,,,,2,,,,,,,w
2023-08-25,Sienna,Tiny thin grass ,,,,,,,,2,,3,,,,,,,,,3,,,w
2023-08-25,Sienna,Flat tiny grass,,,,,,,,,,,,,,,1,,,,1,,,w
2023-08-25,Sienna,Emerald moss,,,,,1,,,,,,,,,,,,,,,,,w
2023-08-25,Sienna,Palmate sprout ,,,,,,,,1,,,,,,,,,,,,,,w
2023-08-30,Sienna,Small clover,,,,,,,,,,,,,,,3,,,,,,,w
2023-08-30,Sienna,Tiny thin grass ,,,,,,,,1,,4,,,,,,,,,2,,,w
2023-08-30,Sienna,Flat tiny grass,,,,,,,,,,,,,,,1,,,,1,,,w
2023-08-30,Sienna,Emerald moss,,,,,1,,,,,,,,,,,,,,,,,w
2023-08-30,Sienna,Palmate sprout ,,,,,,,,1,,,,,,,,,,,,,,w
2023-09-01,Sienna,Small clover,,,,,,,,,,,,,,,3,,,,,,,w
2023-09-01,Sienna,Tiny thin grass ,,,,,,,,1,,4,,,,,,,,,2,,,w
2023-09-01,Sienna,Flat tiny grass,,,,,,,,,,,,,,,1,,,,1,,,w
2023-09-01,Sienna,Emerald moss,,,,,1,,,,,,,,,,,,,,,,,w
2023-09-01,Sienna,Palmate sprout ,,,,,,,,1,,,,,,,,,,,,,,w
2023-09-01,Sienna,Opposite oval sprout,,,,,,,,,,,,,,,,,,,3,,,w
2023-09-05,Sienna,Small clover,,,,,,,,,,,,,,,3,,,,,,,w
2023-09-05,Sienna,Tiny thin grass ,,,,,1,,,1,1,3,,,1,,,1,,,3,,,w
2023-09-05,Sienna,Flat tiny grass,,,,,,,,,,,,,,,1,,,,1,,,w
2023-09-05,Sienna,Emerald moss,,,,,1,,,,,,,,,,,,,,,,,w
2023-09-05,Sienna,Palmate sprout ,,,,,,,,1,,,,,,,,,,,,,,w
2023-09-05,Sienna,Opposite oval sprout,,,,,,,,,,,,,,,,,,,5,,,w
2023-09-08,Chhaya,Small clover,,,,,,,,,,,,,,,1,,,,,,,w
2023-09-08,Chhaya,Tiny thin grass ,,,,,,,,1,1,4,1,,2,,,,,,3,,,w
2023-09-08,Chhaya,Flat tiny grass,,,,,,,,,,,,,,,,,,,1,,,w
2023-09-08,Chhaya,Emerald moss,,,,,,,,,,,,,,,,,,,,,,w
2023-09-08,Chhaya,Palmate sprout ,,,,,,,,,,,,,,,,,,,,,,w
2023-09-08,Chhaya,Opposite oval sprout,,,,,,1,,,,,,,,,,,,,5,,,w
2023-09-14,Madi,Small clover,,,,,,,,,,,,,,,1,,,,,,,w
2023-09-14,Madi,Tiny thin grass ,,,,,,,,1,1,4,1,,2,,,,,,3,,,w
2023-09-14,Madi,Flat tiny grass,,,,,,,,,,,,,,,,,,,1,,,w
2023-09-14,Madi,Emerald moss,,,,,,,,,,,,,,,,,,,,,,w
2023-09-14,Madi,Palmate sprout ,,,,,,,,,,,,,,,,,,,,,,w
2023-09-14,Madi,Opposite oval sprout,,,,,,1,,,,,,,,,,,,,5,,,w
2023-09-20,Kennedy,Small clover,,,,,,,,,,,,,,,1,,,,,,,w
2023-09-20,Kennedy,Tiny thin grass ,,,,,,,,1,1,4,1,,2,,,,,,3,,,w
2023-09-20,Kennedy,Flat tiny grass,,,,,,,,,,,,,,,,,,,1,,,w
2023-09-20,Kennedy,Emerald moss,,,,,,,,,,,,,,,,,,,,,,w
2023-09-20,Kennedy,Palmate sprout ,,,,,,,,,,,,,,,,,,,,,,w
2023-09-20,Kennedy,Opposite oval sprout,,,,,,1,,,,,,,,,,,,,5,,,w
2023-09-29,Kennedy,Small clover,,,,,,,,,,,,,,,1,,,,,,,w
2023-09-29,Kennedy,Tiny thin grass ,,,,,1,,,1,1,4,1,,4,1,,,,,2,,,w
2023-09-29,Kennedy,Flat tiny grass,1,,,,,3,,,,,,,,,1,,,,4,,,w
2023-09-29,Kennedy,Emerald moss,,,,,,,,,,,,,,,,,,,,,,w
2023-09-29,Kennedy,Palmate sprout ,,,,1,,,,1,,,,,,,,,,1,,,,w
2023-09-29,Kennedy,Opposite oval sprout,,,,,,1,,,1,,,,,1,,,,,4,,,w
2023-09-29,Kennedy,two lobed sprout,,,,,3,,,,,,,,,,,,,,,,,w
2023-11-10,M/S,Flat crazy grass,1,,4,,,,,,,2,,,,,,,,,1,,,w
2023-11-10,M/S,Opposite oval sprout,2,1,,,,,,,,,,,,,,,,,1,,,w
2023-11-10,M/S,Viloa sp,,,1,,,,,,,,,,,,,,,,,,,w
2023-11-10,M/S,Two teardrop thick sprout,,,1,,,,,,,,,,,,,,,,1,,,w
2023-11-10,M/S,Unidentifed rush ,,,1,,,,,,,,1,,,,,,,,,,,w
2023-11-10,M/S,Palmate sprout (sink foil),,,,1,,,,,,,,,,,,,,1,,,,w
2023-11-17,S/M/K,Flat crazy grass,,,4,,,,,,,1,,,,,,,,,,,,w
2023-11-17,S/M/K,Opposite oval sprout,2,1,,,,,,,,,,,,,,,,,1,,,w
2023-11-17,S/M/K,Viloa sp,,,1,,,,,,,,,,,,,,,,,,,w
2023-11-17,S/M/K,Two teardrop thick sprout,,,1,,,,,,,,,,,,,,,,1,,,w
2023-11-17,S/M/K,Unidentifed rush ,,,1,,,,,,,,1,,,,,,,,,,,w
2023-11-17,S/M/K,Palmate sprout (sink foil),,,,1,,,,,,,,,,,,,,1,,,,w
2023-11-17,S/M/K,Hairy dan ,,,1,,,,,,,,,,,,,,,,,,,w
2023-11-17,S/M/K,White based flat soft grass ,1,,1,,,,,,,,,,,,,,,,1,,,w
2023-12-01,S/M/K,Flat crazy grass,,,,,,,,,,1,,,1,,,,,,,,,w
2023-12-01,S/M/K,Opposite oval sprout,2,1,,,,,,,,,,,,,,,,,1,,,w
2023-12-01,S/M/K,Viloa sp,,,1,,,,,,,,,,,,,,,,,,,w
2023-12-01,S/M/K,Two teardrop thick sprout,,,1,,,,,,,,,,,,,,,,1,,,w
2023-12-01,S/M/K,Unidentifed rush ,,,1,,,,,,,,,,,,,,,,,,,w
2023-12-01,S/M/K,Palmate sprout (sink foil),,,,1,,,,,,,,,,,,,,1,,,,w
2023-12-01,S/M/K,Hairy dan ,,,1,,,,,,,,,,,,,,,,,,,w
2023-12-01,S/M/K,White based flat soft grass ,1,,1,,,,,,,,,,,,,,,,1,,,w
2023-12-02,S/M/K,Thin flat grass ,,,3,,,,,,,,1,,,,,,,,,,,w
