date,observer,species morpho,Species ID,species code,rf.1.a,rf.2.p,rf.3.a,rf.4.p,rf.5.a,rf.6.a,rf.7.a,rf.8.a,rf.9.p,cm.10.a,cm.11.a,cm.12.p,cm.13.a,cm.14.a,cm.15.p,cm.16.p,cm.17.a,cm.18.p,cm.19.a,control
2024-06-17,"k,c,a,s,m,n",hairy dan,Dantonia californica,dancal,3,,,,,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",small clover,Trifolium longipes,trilon,3,,,,,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",white based grass,,,1,,,,,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",viola,Viola adunca,viola,2,,,,,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",tiny thin grass,,,26,,,,,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",helicopter plant,,,,1,,,,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",trifolium,,,,1,,,,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",tiny thin grass,,,,13,,,,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",palmate sprout,,,,1,,,,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",three leaf spout,,vioadu,,1,,,,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",palmate sprout,,potgra,,,1,,,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",small clover,,,,,6,,,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",hairy dan,,,,,1,,,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",tiny thin grass,,,,,7,,,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",yarrow,,,,,,1,,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",tiny thin grass,,,,,,1,,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",palmate sprout,,,,,,2,,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",single leaf strong vein,,,,,,1,,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",oval leaf vine,,,,,,1,,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",hairy dan,,,,,,,3,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",tiny thin grass,,,,,,,18,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",small clover,,,,,,,15,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",unidentified rush,,,,,,,1,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",long flared plant,,,,,,,1,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",hairy dan,,,,,,,3,,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",three leaf sprout,,,,,,,,6,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",viola sp,,,,,,,,4,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",palmate sprout,,,,,,,,1,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",opposite oval ,,,,,,,,1,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",tiny thin grass,,,,,,,,42,,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",single leaf strong vein,,,,,,,,,1,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",cinquefoil,,,,,,,,,1,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",small clover,,,,,,,,,3,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",palmate sprout,,,,,,,,,2,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",hairy dan,,,,,,,,,21,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",tiny thin grass,,,,,,,,,14,,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",viola,,,,,,,,,,1,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",palmate sprout,,,,,,,,,,7,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",opposite oval ,,,,,,,,,,1,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",small clover,,,,,,,,,,4,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",cinquefoil,,,,,,,,,,1,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",tiny thin grass,,,,,,,,,,2,,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",small clover,,,,,,,,,,,3,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",tiny thin grass,,,,,,,,,,,5,,,,,,,,,,,
2024-06-17,"k,c,a,s,m,n",viola,,,,,,,,,,,2,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",yarrow,achilla millefolium,achmil,,1,,1,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",hairy dan,dantonia californica,dancal,3,,,,2,,16,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",eleochris sp,eleochris sp,elesp,24,16,6,1,34,44,45,2,5,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",,erythranthe primuloides,erypri,,,16,,,3,1,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",helicopter plant,,,,1,,,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",long flared plant,,,,,,,1,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",oval leaf vine,,,,,,1,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",,oxalis corniculata,oxacor,,,,1,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",,potentilla gracilis,potgra,,,1,2,,,1,,,,,,,,,,,,,
