date,observer,species morpho,Species ID,species code,rf.1.a,rf.2.p,rf.3.a,rf.4.p,rf.5.a,rf.6.a,rf.7.a,rf.8.a,rf.9.p,cm.10.a,cm.11.a,cm.12.p,cm.13.a,cm.14.a,cm.15.p,cm.16.p,cm.17.a,cm.18.p,cm.19.a,control,notes
2024-06-20,"NH, CW, CA, AT",,trifolium longipes,trilon,3,1,6,1,14,,3,4,3,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",Carex sp,,carsp,,,,,,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",Oxalis corniculata,,oxacor,,,,1,,,,,,,,,,,,,,,,,* Values fluctuate a lot bc control cover is pulled 
2024-06-20,"NH, CW, CA, AT",Viola adunca,,vioadu,2,,,,3,6,,1,2,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",Thick green sprout ,,,,,,,,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",Heart shaped leaf sprout ,,,,,,,,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",Noccaeae fendleri,,nocfen,,,,,,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",Potentilla gracilis,,potgra ,,,,,,,1,1,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",Erythranthe primuloides,,erypri,,,16,,,3,1,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",Two teardrop thick sprout,,,,2,,,,6,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",Sidalcea oregana,,sidore,,,,,,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",Liverwort ,,,,,,,,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",Marchantia polymorpha ,,marpol,,,,,,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",Dantonia californica,Hairy Dan ,dancal,3,,,,2,,16,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",General grass ,,,24,16,6,1,30,40,19,2,5,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",White based soft grass,,,,,,,,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",Probably Viola ,,,2,,,,,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",yarrow,Achillea millefolium,achmil,,1,,1,,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",Helicopter plant ,,,,1,,,,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",Single leaf strong vein ,,,,,,1,,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",Oval leaf vine ,,,,,,1,,,,,,,,,,,,,,,,,
2024-06-20,"NH, CW, CA, AT",Long Flared plant,,,,,,,1,,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",yarrow,Achillea millefolium,achmil,,1,,1,,,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",Crazy Grass,Carex sp,carsp,,,,,,,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",Hairy Dan,Dantonia californica,dancal,3,,,,4,,17,,,,,,,,,,,,,,
2024-06-24,"NH, AT",Unidentifed rush,Eleocharis sp,elesp,,,,,,,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",,Epilobium ciliatum,epicil,,,,,,,,,,,,,,,,,,,,,
2024-06-24,"NH, AT",,Erigeron sp,erisp,,,,,,,,,,,,,,,,,,,,,
