date,meadow,transect,plot,species.code,species.count,notes
7/21/2023,rock fence,rf1,rf1a,darcal,1,
7/21/2023,rock fence,rf1,rf1a,erylin,1,
7/21/2023,rock fence,rf1,rf1a,trilon,1,
7/21/2023,rock fence,rf1,rf1a,vioadu,1,
7/21/2023,rock fence,rf1,rf1a,achmil,1,
7/21/2023,rock fence,rf1,rf1a,danuni,1,
7/21/2023,rock fence,rf1,rf1a,carsp,1,
7/21/2023,rock fence,rf1,rf1a,junsp,1,
7/21/2023,rock fence,rf1,rf1a,unkfab,1,maybe medicago?
7/21/2023,rock fence,rf1,rf1a,helbig,1,
7/21/2023,rock fence,rf1,rf1a,potgra,1,
7/21/2023,rock fence,rf1,rf1a,unkmon,1,monocot not flowering
7/21/2023,rock fence,rf1,rf1a,bisbis,1,
7/21/2023,rock fence,rf1,rf2p,pincon,1,
7/21/2023,rock fence,rf1,rf2p,amealn,1,
7/21/2023,rock fence,rf1,rf2p,abicon,1,
7/21/2023,rock fence,rf1,rf2p,achmil,1,
7/21/2023,rock fence,rf1,rf2p,schjam,1,
7/21/2023,rock fence,rf1,rf2p,trilon,1,
7/21/2023,rock fence,rf1,rf2p,vioadu,1,
7/21/2023,rock fence,rf1,rf2p,danuni,1,
7/21/2023,rock fence,rf1,rf2p,unkgra,1,maybe bromus sp?
7/21/2023,rock fence,rf1,rf2p,unkfb,1,maybe epilobium?
7/21/2023,rock fence,rf1,rf2p,helbig,1,
7/21/2023,rock fence,rf1,rf2p,aqufor,1,
7/21/2023,rock fence,rf1,rf2p,potgra,1,
7/21/2023,rock fence,rf1,rf2p,carsp,1,
7/21/2023,rock fence,rf1,rf2p,unkast,1,
7/21/2023,rock fence,rf1,rf2p,lincal,1,
7/21/2023,rock fence,rf1,rf2p,bisbis,1,
7/21/2023,rock fence,rf1,rf3a,pincon,1,
7/21/2023,rock fence,rf1,rf3a,helbig,1,
7/21/2023,rock fence,rf1,rf3a,amealn,1,
7/21/2023,rock fence,rf1,rf3a,spispl,1,
7/21/2023,rock fence,rf1,rf3a,pruvul,1,
7/21/2023,rock fence,rf1,rf3a,potgra,1,
7/21/2023,rock fence,rf1,rf3a,vioadu,1,
7/21/2023,rock fence,rf1,rf3a,darcal,1,
7/21/2023,rock fence,rf1,rf3a,deselo,1,
7/21/2023,rock fence,rf1,rf3a,danuni,1,
7/21/2023,rock fence,rf1,rf3a,trilon,1,
7/21/2023,rock fence,rf1,rf3a,carsp,1,
7/21/2023,rock fence,rf1,rf3a,junsp,1,
7/21/2023,rock fence,rf1,rf3a,erylin,1,
7/21/2023,rock fence,rf1,rf3a,achmil,1,
7/21/2023,rock fence,rf1,rf3a,hasalb,1,
7/21/2023,rock fence,rf1,rf3a,cirsp,1,maybe remotifolium or cymosum
7/21/2023,rock fence,rf1,rf3a,unkfab,1,same as plot 1
7/21/2023,rock fence,rf1,rf3a,bisbis,1,
7/21/2023,rock fence,rf3,rf4p,cirsp,1,
7/21/2023,rock fence,rf3,rf4p,achmil,1,
7/21/2023,rock fence,rf3,rf4p,trilon,1,
7/21/2023,rock fence,rf3,rf4p,sidore,1,
7/21/2023,rock fence,rf3,rf4p,anedru,1,
7/21/2023,rock fence,rf3,rf4p,unkfab,1,same as plot 1
7/21/2023,rock fence,rf3,rf4p,potgra,1,
7/21/2023,rock fence,rf3,rf4p,unkgra,1,unknown wheat-like grass (photos)
7/21/2023,rock fence,rf3,rf4p,sisida,1,
7/21/2023,rock fence,rf3,rf4p,vioadu,1,
7/21/2023,rock fence,rf3,rf4p,cerarv,1,
7/21/2023,rock fence,rf3,rf4p,abicon,1,
7/21/2023,rock fence,rf3,rf4p,pincon,1,
7/21/2023,rock fence,rf3,rf4p,danuni,1,
7/21/2023,rock fence,rf3,rf4p,phldif,1,
7/21/2023,rock fence,rf3,rf4p,calnud,1,
7/21/2023,rock fence,rf3,rf4p,lincal,1,
7/21/2023,rock fence,rf3,rf4p,sidore,1,
7/21/2023,rock fence,rf3,rf4p,nocfen,1,
7/21/2023,rock fence,rf3,rf4p,silbri,1,
7/21/2023,rock fence,rf3,rf4p,senint,1,
7/21/2023,rock fence,rf3,rf4p,schjam,1,
7/21/2023,rock fence,rf3,rf4p,pollem,1,
7/21/2023,rock fence,rf3,rf4p,bisbis,1,
7/21/2023,rock fence,rf3,rf5a,pincon,1,
7/21/2023,rock fence,rf3,rf5a,darcal,1,
7/21/2023,rock fence,rf3,rf5a,hasalb,1,
7/21/2023,rock fence,rf3,rf5a,trilon,1,
7/21/2023,rock fence,rf3,rf5a,danuni,1,
7/21/2023,rock fence,rf3,rf5a,carsp,1,
7/21/2023,rock fence,rf3,rf5a,junsp,1,
7/21/2023,rock fence,rf3,rf5a,cirsp,1,
7/21/2023,rock fence,rf3,rf5a,potgra,1,
7/21/2023,rock fence,rf3,rf5a,unkfab,1,
7/21/2023,rock fence,rf3,rf5a,helbig,1,
7/21/2023,rock fence,rf3,rf5a,unkast,1,same as plot 2
7/21/2023,rock fence,rf3,rf5a,sisida,1,
7/21/2023,rock fence,rf3,rf5a,vioadu,1,
7/21/2023,rock fence,rf3,rf5a,aqufor,1,
7/21/2023,rock fence,rf3,rf5a,unkgra,1,
7/21/2023,rock fence,rf3,rf5a,bisbis,1,
7/21/2023,rock fence,rf3,rf5a,lincal,1,
7/21/2023,rock fence,rf3,rf6a,darcal,1,
7/21/2023,rock fence,rf3,rf6a,amealn,1,
7/21/2023,rock fence,rf3,rf6a,potgra,1,
7/21/2023,rock fence,rf3,rf6a,carsp,1,standard brown one
7/21/2023,rock fence,rf3,rf6a,carsp2,1,little green one maybe serratodens?
7/21/2023,rock fence,rf3,rf6a,junsp,1,
7/21/2023,rock fence,rf3,rf6a,unkfb,1,arrow-shaped leaves
7/21/2023,rock fence,rf3,rf6a,erylin,1,
7/21/2023,rock fence,rf3,rf6a,helbig,1,
7/21/2023,rock fence,rf3,rf6a,hasalb,1,
7/21/2023,rock fence,rf3,rf6a,trilon,1,
7/21/2023,rock fence,rf3,rf6a,pruvul,1,
7/21/2023,rock fence,rf3,rf6a,vioadu,1,
7/21/2023,rock fence,rf3,rf6a,unkfb,1,caryophyllaceae sp?
7/21/2023,rock fence,rf3,rf6a,unkast,1,
7/21/2023,rock fence,rf3,rf6a,bisbis,1,
7/21/2023,rock fence,rf2,rf7a,trilon,1,
7/21/2023,rock fence,rf2,rf7a,potgra,1,
7/21/2023,rock fence,rf2,rf7a,helbig,1,
7/21/2023,rock fence,rf2,rf7a,unkfab,1,same as plot 1
7/21/2023,rock fence,rf2,rf7a,junsp,1,
7/21/2023,rock fence,rf2,rf7a,danuni,1,
7/21/2023,rock fence,rf2,rf7a,unkgra,1,
7/21/2023,rock fence,rf2,rf7a,descae,1,
7/21/2023,rock fence,rf2,rf7a,carsp,1,
7/21/2023,rock fence,rf2,rf7a,unkast,1,same
7/21/2023,rock fence,rf2,rf7a,sidore,1,
7/21/2023,rock fence,rf2,rf8a,achmil,1,
7/21/2023,rock fence,rf2,rf8a,potgra,1,
7/21/2023,rock fence,rf2,rf8a,vioadu,1,
7/21/2023,rock fence,rf2,rf8a,sisida,1,
7/21/2023,rock fence,rf2,rf8a,trilon,1,
7/21/2023,rock fence,rf2,rf8a,unkast,1,
7/21/2023,rock fence,rf2,rf8a,lincal,1,
7/21/2023,rock fence,rf2,rf8a,unkfab,1,same
7/21/2023,rock fence,rf2,rf8a,cirsp,1,
7/21/2023,rock fence,rf2,rf8a,helbig,1,
7/21/2023,rock fence,rf2,rf8a,carsp,1,
7/21/2023,rock fence,rf2,rf8a,danuni,1,
7/21/2023,rock fence,rf2,rf8a,sidore,1,
7/21/2023,rock fence,rf2,rf8a,junsp,1,
7/21/2023,rock fence,rf2,rf8a,cerarv,1,
7/21/2023,rock fence,rf2,rf8a,unkfb,1,
7/21/2023,rock fence,rf2,rf8a,nocfen,1,
7/21/2023,rock fence,rf2,rf9p,abicon,1,
7/21/2023,rock fence,rf2,rf9p,lincal,1,
7/21/2023,rock fence,rf2,rf9p,vioadu,1,
7/21/2023,rock fence,rf2,rf9p,cirsp,1,
7/21/2023,rock fence,rf2,rf9p,spispl,1,
7/21/2023,rock fence,rf2,rf9p,helbig,1,
7/21/2023,rock fence,rf2,rf9p,trilon,1,
7/21/2023,rock fence,rf2,rf9p,unkfab,1,
7/21/2023,rock fence,rf2,rf9p,potgra,1,
7/21/2023,rock fence,rf2,rf9p,sidore,1,
7/21/2023,rock fence,rf2,rf9p,carsp,1,
7/21/2023,cabin meadows,cm8,cm10a,bisbis,1,
7/21/2023,cabin meadows,cm8,cm10a,trilon,1,
7/21/2023,cabin meadows,cm8,cm10a,hasalb,1,
