date,meadow,transect,plot,species code,notes
7/21/23,rock fence,rf1,rf1a,darcal,
7/21/23,rock fence,rf1,rf1a,erylin,
7/21/23,rock fence,rf1,rf1a,trilon,
7/21/23,rock fence,rf1,rf1a,vioadu,
7/21/23,rock fence,rf1,rf1a,achmil,
7/21/23,rock fence,rf1,rf1a,danuni,
7/21/23,rock fence,rf1,rf1a,carsp,
7/21/23,rock fence,rf1,rf1a,junsp,
7/21/23,rock fence,rf1,rf1a,unkfab,maybe medicago?
7/21/23,rock fence,rf1,rf1a,helbig,
7/21/23,rock fence,rf1,rf1a,potgra,
7/21/23,rock fence,rf1,rf1a,unkmon,monocot not flowering
7/21/23,rock fence,rf1,rf1a,bisbis,
9/18/23,rock fence,rf2,rf1a,orealp,
7/21/23,rock fence,rf1,rf2p,pincon,"* Make sure to look for ""ACTUAL 2P"" on Avenza map (yellow point)"
7/21/23,rock fence,rf1,rf2p,amealn,
7/21/23,rock fence,rf1,rf2p,abicon,
7/21/23,rock fence,rf1,rf2p,achmil,
7/21/23,rock fence,rf1,rf2p,schjam,
7/21/23,rock fence,rf1,rf2p,trilon,
7/21/23,rock fence,rf1,rf2p,vioadu,
7/21/23,rock fence,rf1,rf2p,danuni,
7/21/23,rock fence,rf1,rf2p,unkgra,maybe bromus sp?
7/21/23,rock fence,rf1,rf2p,unkfb,maybe epilobium?
7/21/23,rock fence,rf1,rf2p,helbig,
7/21/23,rock fence,rf1,rf2p,aqufor,
7/21/23,rock fence,rf1,rf2p,potgra,
7/21/23,rock fence,rf1,rf2p,carsp,
7/21/23,rock fence,rf1,rf2p,orealp,
7/21/23,rock fence,rf1,rf2p,lincal,
7/21/23,rock fence,rf1,rf2p,bisbis,
9/18/23,rock fence,rf2,rf2p,fracal,
9/18/23,rock fence,rf3,rf2p,amealn,
7/21/23,rock fence,rf1,rf3a,pincon,
7/21/23,rock fence,rf1,rf3a,helbig,
7/21/23,rock fence,rf1,rf3a,amealn,
7/21/23,rock fence,rf1,rf3a,spispl,
7/21/23,rock fence,rf1,rf3a,pruvul,
7/21/23,rock fence,rf1,rf3a,potgra,
7/21/23,rock fence,rf1,rf3a,vioadu,
7/21/23,rock fence,rf1,rf3a,darcal,
7/21/23,rock fence,rf1,rf3a,deselo,
7/21/23,rock fence,rf1,rf3a,danuni,
7/21/23,rock fence,rf1,rf3a,trilon,
7/21/23,rock fence,rf1,rf3a,carsp,
7/21/23,rock fence,rf1,rf3a,junsp,
7/21/23,rock fence,rf1,rf3a,erylin,
7/21/23,rock fence,rf1,rf3a,achmil,
7/21/23,rock fence,rf1,rf3a,hasalb,
7/21/23,rock fence,rf1,rf3a,cirsp,maybe remotifolium or cymosum
7/21/23,rock fence,rf1,rf3a,unkfab,same as plot 1
7/21/23,rock fence,rf1,rf3a,bisbis,
9/18/23,rock fence,rf1,rf3a,genama,
7/21/23,rock fence,rf3,rf4p,cirsp,
7/21/23,rock fence,rf3,rf4p,achmil,
7/21/23,rock fence,rf3,rf4p,trilon,
7/21/23,rock fence,rf3,rf4p,sidore,
7/21/23,rock fence,rf3,rf4p,anedru,
7/21/23,rock fence,rf3,rf4p,unkfab,same as plot 1
7/21/23,rock fence,rf3,rf4p,potgra,
7/21/23,rock fence,rf3,rf4p,unkgra,unknown wheat-like grass (photos)
7/21/23,rock fence,rf3,rf4p,sisida,
7/21/23,rock fence,rf3,rf4p,vioadu,
7/21/23,rock fence,rf3,rf4p,cerarv,
7/21/23,rock fence,rf3,rf4p,abicon,
7/21/23,rock fence,rf3,rf4p,pincon,
7/21/23,rock fence,rf3,rf4p,danuni,
7/21/23,rock fence,rf3,rf4p,phldif,
7/21/23,rock fence,rf3,rf4p,calnud,
7/21/23,rock fence,rf3,rf4p,lincal,
7/21/23,rock fence,rf3,rf4p,sidore,
7/21/23,rock fence,rf3,rf4p,nocfen,
7/21/23,rock fence,rf3,rf4p,silbri,
7/21/23,rock fence,rf3,rf4p,senint,
7/21/23,rock fence,rf3,rf4p,schjam,
7/21/23,rock fence,rf3,rf4p,pollem,
7/21/23,rock fence,rf3,rf4p,bisbis,
9/18/23,rock fence,rf4,rf4p,phldif,
7/21/23,rock fence,rf3,rf5a,pincon,
7/21/23,rock fence,rf3,rf5a,darcal,
7/21/23,rock fence,rf3,rf5a,hasalb,
7/21/23,rock fence,rf3,rf5a,trilon,
7/21/23,rock fence,rf3,rf5a,danuni,
7/21/23,rock fence,rf3,rf5a,carsp,
7/21/23,rock fence,rf3,rf5a,junsp,
7/21/23,rock fence,rf3,rf5a,cirsp,
7/21/23,rock fence,rf3,rf5a,potgra,
7/21/23,rock fence,rf3,rf5a,unkfab,
7/21/23,rock fence,rf3,rf5a,helbig,
7/21/23,rock fence,rf3,rf5a,orealp,
7/21/23,rock fence,rf3,rf5a,sisida,
7/21/23,rock fence,rf3,rf5a,vioadu,
7/21/23,rock fence,rf3,rf5a,aqufor,
7/21/23,rock fence,rf3,rf5a,unkgra,
7/21/23,rock fence,rf3,rf5a,bisbis,
7/21/23,rock fence,rf3,rf5a,lincal,
7/21/23,rock fence,rf3,rf6a,darcal,"Avenza point not in correct location, needs to change to same location as veg plot 3.2"
7/21/23,rock fence,rf3,rf6a,amealn,
7/21/23,rock fence,rf3,rf6a,potgra,
7/21/23,rock fence,rf3,rf6a,carsp,standard brown one
7/21/23,rock fence,rf3,rf6a,carsp2,little green one maybe serratodens?
7/21/23,rock fence,rf3,rf6a,junsp,
7/21/23,rock fence,rf3,rf6a,unkfb,arrow-shaped leaves
7/21/23,rock fence,rf3,rf6a,erylin,
7/21/23,rock fence,rf3,rf6a,helbig,
7/21/23,rock fence,rf3,rf6a,hasalb,
7/21/23,rock fence,rf3,rf6a,trilon,
7/21/23,rock fence,rf3,rf6a,pruvul,
7/21/23,rock fence,rf3,rf6a,vioadu,
7/21/23,rock fence,rf3,rf6a,unkfb,caryophyllaceae sp?
7/21/23,rock fence,rf3,rf6a,orealp,previously marked as unkast
7/21/23,rock fence,rf3,rf6a,bisbis,
9/18/23,rock fence,rf3,rf6a,genama,
9/18/23,rock fence,rf3,rf6a,unkfb,shield-shaped leaves
7/21/23,rock fence,rf2,rf7a,trilon,
7/21/23,rock fence,rf2,rf7a,potgra,
7/21/23,rock fence,rf2,rf7a,helbig,
7/21/23,rock fence,rf2,rf7a,unkfab,same as plot 1
7/21/23,rock fence,rf2,rf7a,junsp,
7/21/23,rock fence,rf2,rf7a,danuni,
7/21/23,rock fence,rf2,rf7a,unkgra,
7/21/23,rock fence,rf2,rf7a,descae,
7/21/23,rock fence,rf2,rf7a,carsp,
7/21/23,rock fence,rf2,rf7a,symspa,previously marked as unkast
7/21/23,rock fence,rf2,rf7a,sidore,
7/21/23,rock fence,rf2,rf8a,achmil,
7/21/23,rock fence,rf2,rf8a,potgra,
7/21/23,rock fence,rf2,rf8a,vioadu,
7/21/23,rock fence,rf2,rf8a,sisida,
7/21/23,rock fence,rf2,rf8a,trilon,
7/21/23,rock fence,rf2,rf8a,orealp,
7/21/23,rock fence,rf2,rf8a,lincal,
7/21/23,rock fence,rf2,rf8a,unkfab,same
7/21/23,rock fence,rf2,rf8a,cirsp,
7/21/23,rock fence,rf2,rf8a,helbig,
7/21/23,rock fence,rf2,rf8a,carsp,
7/21/23,rock fence,rf2,rf8a,danuni,
