date,plot,habitat,bag weight (g),pre-oven weight (g),post-oven weight (g),moisture.content 
20-Sep,rf.1.a,a,7.5,298.1,154.7,97.41847826
20-Sep,rf.2.p,p,7.5,289.4,254.6,14.08336706
20-Sep,rf.3.a,a,7.5,343,183.9,90.19274376
20-Sep,rf.4.p,p,7.5,257.4,234.2,10.23378915
20-Sep,rf.5.a,a,7.5,193.3,149.6,30.75299085
20-Sep,rf.6.a,a,7.5,329.8,77.8,358.4637269
20-Sep,rf.7.a,a,7.5,175.6,132.6,34.372502
20-Sep,rf.8.a,a,7.5,279.9,239.6,17.36320551
20-Sep,rf.9.p,p,7.5,242.3,206.9,17.75325978
20-Sep,cm.19.a,a,7.5,284,186.2,54.72859541
20-Sep,cm.18.p,p,7.5,335.6,283.2,19.00616612
20-Sep,cm.17.a,a,7.5,261,123.5,118.5344828
20-Sep,cm.16.p,p,7.5,265.2,200.1,33.80062305
20-Sep,cm.15.p,p,7.5,209.9,184.2,14.54442558
2-Oct,cm.13.a,a,7.5,170.1,113.5,53.39622642
20-Sep,cm.14.a,a,7.5,174.3,90.4,101.2062726
20-Sep,cm.12.p,p,7.5,267.3,242.3,10.64735945
20-Sep,cm.11.a,a,7.5,155.4,71.7,130.3738318
25-Sep,cm.10.a,a,7.5,178.6,110.6,65.95538312
