FID,CID,F1,Plot,Watershed,HGM,Percent_Ca,Percent_He,Percent_Sh,Percent_Ba,Percent_Li,Percent_Ro,Percent_Wo,Percent_Wa,Percent_DC,Grazing_In,Percent_Tr,Percent_Ho,Percent__1,Manure_Cou,Closest_Wa,Water_Type,Restoratio,Stream_Res,Incised,Bank_Sloug,Cattle_Imp,Cattle_Tra,OBJECTID_1,Field,NEAR_FID,NEAR_DIST,MEADOW_FID,MEADOW_DIST
1,1,13,1,RF,Riparian_Mid_Gradient,30,4,40,0,NA,40,40,0,0,Low,0,0,0,0,14,Stream,Both,BDA,No,No,Yes,No,13,0,2,1762.517397,98,0
2,1,36,2,CM,Discharge_Slope,40,20,5,0,85,0,5,10,0,Moderate,3,8,0,1,0,Sm_Scale_Drainage,NA,None,No,No,Yes,No,36,0,1,3212.263153,29,0
3,1,128,3,RF,Riparian_Mid_Gradient,0,5,30,10,25,15,25,0,0,Low,5,0,0,3,NA,NA,NA,None,No,No,Yes,No,128,0,2,1750.993717,98,0
4,1,28,4,RF,Riparian_Mid_Gradient,5,25,50,1,1,20,25,20,10,Moderate,0,1,0,1,0,Stream,Inside,Log_Jam,No,Yes,Yes,No,28,0,2,2045.801421,98,0
5,1,75,5,CM,Dry,1,15,15,50,15,25,5,0,0,Moderate,5,1,0,1,4,Sm_Scale_Drainage,NA,None,No,No,Yes,No,75,0,1,2082.438313,80,0
6,1,129,6,RF,Dry,5,25,3,10,25,15,2,0,0,Low,10,0,0,2,NA,NA,NA,None,No,No,Yes,Yes,129,0,2,1574.304651,100,0
7,1,124,7,CM,Riparian_High_Gradient,15,30,20,10,5,30,15,0,0,High,0,0,0,1,26,Stream,Inside,Log_Jam,No,No,Yes,No,124,0,1,1819.120864,67,0
8,1,52,8,CM,Other,10,10,3,15,20,3,15,0,0,High,15,0,0,9,7,Sm_Scale_Drainage,NA,None,No,No,Yes,No,52,0,1,2345.110687,66,0
9,1,143,9,CM,Other,15,8,0,15,20,5,10,0,0,Moderate,8,0,0,4,48,Stream,NA,None,No,No,Yes,No,143,0,1,1845.939166,76,0
10,1,123,10,CM,Riparian_High_Gradient,1,80,5,10,5,5,15,15,0,Low,25,7,0,1,0,Sm_Scale_Drainage,Inside,Log_Jam,Yes,Yes,Yes,No,123,0,1,1771.276245,67,0
11,1,115,11,CM,Mound_Peatland,30,15,0,10,30,5,25,0,0,High,10,0,0,16,10,Sm_Scale_Drainage,Upstream,Log_Jam,No,No,Yes,Yes,115,0,1,1473.382804,86,0
12,1,29,12,RF,Riparian_Mid_Gradient,20,25,25,0,20,20,5,5,0,Light,0,0,0,0,0,Sm_Scale_Drainage,NA,Log_Jam,No,No,Yes,No,29,0,2,2066.948808,98,0
13,1,117,13,CM,Riparian_High_Gradient,3,25,1,15,10,5,25,0,0,High,15,0,0,4,26,Stream,Downstream,Log_Jam,No,Yes,Yes,No,117,0,1,1570.548618,67,0
14,1,49,14,CM,Other,20,90,0,3,10,10,3,0,0,Moderate,50,0,0,11,0,Sm_Scale_Drainage,NA,None,No,No,No,No,49,0,1,2460.607328,66,0
15,1,41,15,CM,Other,45,5,1,5,75,1,15,0,0,Moderate,10,0,0,8,31,Stream,NA,None,Yes,Yes,Yes,Yes,41,0,1,2614.172965,66,0
16,1,126,16,CM,Other,10,15,10,25,15,8,7,0,0,Moderate,15,0,0,1,50,Stream,Upstream,Log_Jam,No,No,Yes,No,126,0,1,1908.04894,76,0
17,1,20,17,RF,Riparian_Mid_Gradient,0,85,1,2,2,1,20,10,0,Moderate,10,2,0,6,0,Sm_Scale_Drainage,NA,None,No,Yes,Yes,No,20,0,2,1670.366377,98,0
18,1,86,18,CM,Discharge_Slope,30,15,20,5,25,0,30,10,0,Low,10,0,0,1,0,Sm_Scale_Drainage,Inside,Log_Jam,No,No,Yes,No,86,0,1,491.2935884,73,0
